x,y,z,w
0.1308341,-0.1796675,-0.152984,0.9629112
0.131112,-0.177856,-0.1533954,0.9631442
0.1313859,-0.1759487,-0.1538238,0.9633888
0.1316148,-0.1740355,-0.1541983,0.9636452
0.1318394,-0.172077,-0.1545622,0.9639079
0.1320862,-0.1700686,-0.1549646,0.9641659
0.1323267,-0.1681182,-0.1553628,0.9644109
0.1325263,-0.1661876,-0.1557326,0.9646584
0.1326732,-0.1642621,-0.1561231,0.9649048
0.1327926,-0.1622986,-0.1565285,0.9651549
0.1328699,-0.1603343,-0.1569148,0.9654099
0.1328782,-0.1585024,-0.157231,0.9656597
